frame,keypoint_group,angle_student,angle_master
0,0,144.35414023671228,144.35414023671228
0,1,122.93275873945274,122.93275873945274
0,2,63.001067469371065,63.001067469371065
0,3,58.0614934402925,58.0614934402925
0,4,43.80219916442985,43.80219916442985
0,5,42.48176259031097,42.48176259031097
0,6,119.30781279570523,119.30781279570523
0,7,131.60673567401673,131.60673567401673
0,8,108.8419737227544,108.8419737227544
0,9,128.8186172939711,128.8186172939711
0,10,49.51264695631725,49.51264695631725
0,11,69.6002728017016,69.6002728017016
0,12,61.577427567502795,61.577427567502795
0,13,62.55623381422352,62.55623381422352
0,14,68.90992547617998,68.90992547617998
0,15,47.84349338407486,47.84349338407486
0,16,157.94459911181855,157.94459911181855
0,17,178.89926684265654,178.89926684265654
0,18,48.86313242299871,48.86313242299871
0,19,46.49120032964945,46.49120032964945
0,20,36.43184669684841,36.43184669684841
0,21,77.9907939860534,77.9907939860534
0,22,163.13200840540432,163.13200840540432
0,23,175.30159305389967,175.30159305389967
0,24,127.12735894627596,127.12735894627596
0,25,145.71644483230256,145.71644483230256
0,26,79.35327184096069,79.35327184096069
0,27,91.17932305069188,91.17932305069188
1,0,143.07785883431896,143.07785883431896
1,1,123.67428502560654,123.67428502560654
1,2,66.62220263362995,66.62220263362995
1,3,55.048695992595405,55.048695992595405
1,4,20.93519558600654,20.93519558600654
1,5,92.07543057273243,92.07543057273243
1,6,113.23058055195952,113.23058055195952
1,7,116.58905190997834,116.58905190997834
1,8,107.28287034268848,107.28287034268848
1,9,135.96572960945065,135.96572960945065
1,10,50.598108622083245,50.598108622083245
1,11,53.52712283418903,53.52712283418903
1,12,67.88529638714118,67.88529638714118
1,13,75.70840229932436,75.70840229932436
1,14,61.51659499077559,61.51659499077559
1,15,50.76447486648664,50.76447486648664
1,16,177.0961975508315,177.0961975508315
1,17,71.96218868903011,71.96218868903011
1,18,13.601861622895349,13.601861622895349
1,19,25.541855990539325,25.541855990539325
1,20,7.923719121008771,7.923719121008771
1,21,3.4472962304198655,3.4472962304198655
1,22,163.84597895428277,163.84597895428277
1,23,175.75601501604194,175.75601501604194
1,24,134.16608670693037,134.16608670693037
1,25,147.22506771711272,147.22506771711272
1,26,85.28106177571276,85.28106177571276
1,27,101.5917057098804,101.5917057098804
2,0,145.30297416104918,145.30297416104918
2,1,127.60521490379915,127.60521490379915
2,2,63.16380051661483,63.16380051661483
2,3,54.43899142817591,54.43899142817591
2,4,6.7772582771667995,6.7772582771667995
2,5,43.91317803730277,43.91317803730277
2,6,112.99613449799746,112.99613449799746
2,7,109.46665462355452,109.46665462355452
2,8,109.48083961966384,109.48083961966384
2,9,129.00912481671523,129.00912481671523
2,10,43.47744923297767,43.47744923297767
2,11,67.18532815874399,67.18532815874399
2,12,72.02423826118847,72.02423826118847
2,13,64.16291574607969,64.16291574607969
2,14,64.49831250583387,64.49831250583387
2,15,48.651756095176324,48.651756095176324
2,16,176.69658402578324,176.69658402578324
2,17,126.81197449893712,126.81197449893712
2,18,12.364646368146584,12.364646368146584
2,19,14.024102539939364,14.024102539939364
2,20,13.659135299886033,13.659135299886033
2,21,7.998654955460548,7.998654955460548
2,22,177.97386702517986,177.97386702517986
2,23,171.2118025544647,171.2118025544647
2,24,131.464631205065,131.464631205065
2,25,144.7777095286204,144.7777095286204
2,26,84.21958441319124,84.21958441319124
2,27,95.88212491624971,95.88212491624971
3,0,149.13091554963685,149.13091554963685
3,1,130.62654795212995,130.62654795212995
3,2,63.82975117681514,63.82975117681514
3,3,47.9385111455426,47.9385111455426
3,4,29.9712220570768,29.9712220570768
3,5,139.6123952607787,139.6123952607787
3,6,111.34722834671365,111.34722834671365
3,7,102.25454319338075,102.25454319338075
3,8,112.77968326686539,112.77968326686539
3,9,138.42413817422815,138.42413817422815
3,10,46.20673005042703,46.20673005042703
3,11,55.1384175291417,55.1384175291417
3,12,72.74626137064186,72.74626137064186
3,13,69.1581700691779,69.1581700691779
3,14,61.04700857893111,61.04700857893111
3,15,55.703412401680396,55.703412401680396
3,16,162.47383768953333,162.47383768953333
3,17,29.490158494935947,29.490158494935947
3,18,31.943626206377015,31.943626206377015
3,19,0.677721633887199,0.677721633887199
3,20,20.943432767749176,20.943432767749176
3,21,0.10713190650094907,0.10713190650094907
3,22,179.9024135268316,179.9024135268316
3,23,170.67282018954526,170.67282018954526
3,24,131.70179392329632,131.70179392329632
3,25,140.6495656852301,140.6495656852301
3,26,84.48377211057968,84.48377211057968
3,27,103.76636917987825,103.76636917987825
4,0,147.34970447470266,147.34970447470266
4,1,127.41247475542059,127.41247475542059
4,2,66.35690848458142,66.35690848458142
4,3,44.397299126943565,44.397299126943565
4,4,31.20239537400234,31.20239537400234
4,5,128.2094420205017,128.2094420205017
4,6,111.32561317828173,111.32561317828173
4,7,114.75886099522029,114.75886099522029
4,8,114.98151913471915,114.98151913471915
4,9,135.48515065433625,135.48515065433625
4,10,46.851246219047674,46.851246219047674
4,11,58.74645438192307,58.74645438192307
4,12,68.20243333902538,68.20243333902538
4,13,71.52592307216126,71.52592307216126
4,14,64.94632044192694,64.94632044192694
4,15,49.72762254591561,49.72762254591561
4,16,157.09231306954254,157.09231306954254
4,17,69.27961582237783,69.27961582237783
4,18,36.36533380531034,36.36533380531034
4,19,34.05469440216382,34.05469440216382
4,20,23.103391568283953,23.103391568283953
4,21,3.9076162621054844,3.9076162621054844
4,22,179.35369451569144,179.35369451569144
4,23,169.95021734250693,169.95021734250693
4,24,128.41802271775217,128.41802271775217
4,25,140.17658935138311,140.17658935138311
4,26,81.4224950437739,81.4224950437739
4,27,95.97012613679743,95.97012613679743
5,0,151.95185081427735,151.95185081427735
5,1,118.7967729776617,118.7967729776617
5,2,65.66906564396028,65.66906564396028
5,3,44.89990118860956,44.89990118860956
5,4,45.81209028639704,45.81209028639704
5,5,99.18248074655085,99.18248074655085
5,6,118.3202114150478,118.3202114150478
5,7,129.48391517440376,129.48391517440376
5,8,118.23804949424434,118.23804949424434
5,9,139.39342459821844,139.39342459821844
5,10,42.32196580940016,42.32196580940016
5,11,67.09898574932454,67.09898574932454
5,12,71.1686946966781,71.1686946966781
5,13,71.23064744456289,71.23064744456289
5,14,66.50933949392177,66.50933949392177
5,15,41.670366806112554,41.670366806112554
5,16,147.62913243644292,147.62913243644292
5,17,96.4629213764706,96.4629213764706
5,18,89.7937636377042,89.7937636377042
5,19,43.88617040223661,43.88617040223661
5,20,24.674914364434926,24.674914364434926
5,21,9.675046188077005,9.675046188077005
5,22,157.3871070226507,157.3871070226507
5,23,168.25675228746326,168.25675228746326
5,24,124.3788039769836,124.3788039769836
5,25,139.27611411881685,139.27611411881685
5,26,75.86399247158144,75.86399247158144
5,27,86.88596711312063,86.88596711312063
6,0,158.3241719687995,158.3241719687995
6,1,107.51625797394219,107.51625797394219
6,2,62.619512740102934,62.619512740102934
6,3,43.89413993246237,43.89413993246237
6,4,44.60194038664775,44.60194038664775
6,5,105.26464181350408,105.26464181350408
6,6,116.88271833006412,116.88271833006412
6,7,128.7558865140737,128.7558865140737
6,8,116.81978020469805,116.81978020469805
6,9,142.89527640777777,142.89527640777777
6,10,40.02722759578362,40.02722759578362
6,11,51.18883745237676,51.18883745237676
6,12,68.9133285945229,68.9133285945229
6,13,82.60630570154356,82.60630570154356
6,14,71.0594438096935,71.0594438096935
6,15,46.20485684607968,46.20485684607968
6,16,146.3791148381004,146.3791148381004
6,17,81.72282619671513,81.72282619671513
6,18,93.47832424879141,93.47832424879141
6,19,32.60990577704258,32.60990577704258
6,20,23.47545269524082,23.47545269524082
6,21,7.366554516627848,7.366554516627848
6,22,16.953268056924628,16.953268056924628
6,23,171.8052734480657,171.8052734480657
6,24,122.75800966084164,122.75800966084164
6,25,140.46824303934696,140.46824303934696
6,26,69.28873053248668,69.28873053248668
6,27,71.4332406075217,71.4332406075217
7,0,161.1034408493824,161.1034408493824
7,1,97.78591537345221,97.78591537345221
7,2,62.44259440936366,62.44259440936366
7,3,46.02747310858259,46.02747310858259
7,4,34.09723611126998,34.09723611126998
7,5,102.3331104612012,102.3331104612012
7,6,96.48792348247555,96.48792348247555
7,7,136.3996439268673,136.3996439268673
7,8,116.7824630567215,116.7824630567215
7,9,143.59530118891888,143.59530118891888
7,10,40.7934032241334,40.7934032241334
7,11,42.30876779602712,42.30876779602712
7,12,68.95395773113813,68.95395773113813
7,13,96.82243791597641,96.82243791597641
7,14,70.25263904472847,70.25263904472847
7,15,40.86879428799642,40.86879428799642
7,16,159.0895159621059,159.0895159621059
7,17,69.71761160669206,69.71761160669206
7,18,77.67088205824925,77.67088205824925
7,19,26.950114794144145,26.950114794144145
7,20,35.36212863726777,35.36212863726777
7,21,4.815878102997745,4.815878102997745
7,22,13.438854279868384,13.438854279868384
7,23,172.8534900342166,172.8534900342166
7,24,121.75046897344805,121.75046897344805
7,25,135.43189649389248,135.43189649389248
7,26,68.40787044248765,68.40787044248765
7,27,73.05331582039608,73.05331582039608
8,0,167.2768322054574,167.2768322054574
8,1,92.6831884806233,92.6831884806233
8,2,60.12596248413925,60.12596248413925
8,3,45.751117281800965,45.751117281800965
8,4,33.872735810536504,33.872735810536504
8,5,79.84222277480949,79.84222277480949
8,6,94.64265412234533,94.64265412234533
8,7,131.71832829153087,131.71832829153087
8,8,115.16433498549506,115.16433498549506
8,9,145.90728698617983,145.90728698617983
8,10,40.56364368096841,40.56364368096841
8,11,37.569813325583446,37.569813325583446
8,12,67.0581442720227,67.0581442720227
8,13,105.88093092399326,105.88093092399326
8,14,72.37821204700889,72.37821204700889
8,15,36.5492557504233,36.5492557504233
8,16,159.44279431337625,159.44279431337625
8,17,104.00014673551647,104.00014673551647
8,18,59.36340707275118,59.36340707275118
8,19,21.760708127781808,21.760708127781808
8,20,44.52330551799791,44.52330551799791
8,21,7.53258051588236,7.53258051588236
8,22,18.984053814700474,18.984053814700474
8,23,171.20551071673324,171.20551071673324
8,24,122.79457156299765,122.79457156299765
8,25,133.4603010097864,133.4603010097864
8,26,66.8337689727023,66.8337689727023
8,27,72.80481949990471,72.80481949990471
