frame,point_idx,x1,y1,z1,x2,y2,z2
0,0,0.8294556140899658,0.45255836844444275,-0.5157798528671265,0.5,0.5,0.0
0,1,0.846266508102417,0.4156692624092102,-0.49198365211486816,0.5,0.5,0.0
0,2,0.8483964800834656,0.4152297377586365,-0.49223440885543823,0.5,0.5,0.0
0,3,0.8497557044029236,0.4145803451538086,-0.49266883730888367,0.5,0.5,0.0
0,4,0.8356883525848389,0.4058559834957123,-0.5552018880844116,0.5,0.5,0.0
0,5,0.8293970823287964,0.39764341711997986,-0.5554114580154419,0.5,0.5,0.0
0,6,0.8223633766174316,0.388448029756546,-0.5555359721183777,0.5,0.5,0.0
0,7,0.8236953020095825,0.380754679441452,-0.34429943561553955,0.5,0.5,0.0
0,8,0.7901000380516052,0.3496357798576355,-0.6249925494194031,0.5,0.5,0.0
0,9,0.8048517107963562,0.46782368421554565,-0.4542154371738434,0.5,0.5,0.0
0,10,0.7877945899963379,0.44992318749427795,-0.5357613563537598,0.5,0.5,0.0
0,11,0.7188315987586975,0.4129016697406769,-0.18305763602256775,0.5,0.5,0.0
0,12,0.6463301181793213,0.38892075419425964,-0.6867030262947083,0.5,0.5,0.0
0,13,0.6715047359466553,0.6250953674316406,-0.15681315958499908,0.5,0.5,0.0
0,14,0.6463779211044312,0.7177712917327881,-0.7426576614379883,0.5,0.5,0.0
0,15,0.7015691995620728,0.8155587315559387,-0.26207560300827026,0.5,0.5,0.0
0,16,0.7786980271339417,0.9595003724098206,-0.6783872842788696,0.5,0.5,0.0
0,17,0.7322348952293396,0.846632719039917,-0.2728623151779175,0.5,0.5,0.0
0,18,0.8165668249130249,0.9882006049156189,-0.7684373259544373,0.5,0.5,0.0
0,19,0.733822226524353,0.8504478931427002,-0.3412194848060608,0.5,0.5,0.0
0,20,0.8407511711120605,0.970818817615509,-0.7231942415237427,0.5,0.5,0.0
0,21,0.7119207978248596,0.8411539793014526,-0.2940881550312042,0.5,0.5,0.0
0,22,0.8232882022857666,0.9612533450126648,-0.6675442457199097,0.5,0.5,0.0
0,23,0.4164900779724121,0.42926666140556335,0.1454804390668869,0.5,0.5,0.0
0,24,0.33988577127456665,0.3998802900314331,-0.14488044381141663,0.5,0.5,0.0
0,25,0.5303921699523926,0.6662007570266724,0.24471010267734528,0.5,0.5,0.0
0,26,0.35270199179649353,0.6390206813812256,-0.4053787589073181,0.5,0.5,0.0
0,27,0.3660171627998352,0.6213508248329163,0.3397451639175415,0.5,0.5,0.0
0,28,0.23659756779670715,0.5571419596672058,0.06378795206546783,0.5,0.5,0.0
0,29,0.33443203568458557,0.5879133343696594,0.35391882061958313,0.5,0.5,0.0
0,30,0.21907943487167358,0.5107266902923584,0.12211894243955612,0.5,0.5,0.0
0,31,0.35398170351982117,0.6980144381523132,0.4178451597690582,0.5,0.5,0.0
0,32,0.196470245718956,0.6688968539237976,0.2396276742219925,0.5,0.5,0.0
1,0,0.8331030011177063,0.4424494504928589,-0.6620681285858154,0.7088378071784973,0.7742663621902466,-0.35105639696121216
1,1,0.8467261791229248,0.40941286087036133,-0.6453291773796082,0.7367935180664062,0.7926167249679565,-0.3731146454811096
1,2,0.8470413088798523,0.4071774482727051,-0.6454553008079529,0.7356547117233276,0.8010684251785278,-0.37305623292922974
1,3,0.8474290370941162,0.4050061106681824,-0.6458048224449158,0.7347520589828491,0.8025736212730408,-0.37321943044662476
1,4,0.8388731479644775,0.4029923677444458,-0.7053012251853943,0.7239340543746948,0.7861427068710327,-0.3423742651939392
1,5,0.8343625664710999,0.3968328833580017,-0.7057048082351685,0.7247359752655029,0.7849229574203491,-0.34248191118240356
1,6,0.8294493556022644,0.3901311159133911,-0.70599365234375,0.7255606651306152,0.7836104035377502,-0.34260448813438416
1,7,0.818649172782898,0.37005144357681274,-0.49873480200767517,0.7064436674118042,0.8295052647590637,-0.38948091864585876
1,8,0.7978510856628418,0.3528473973274231,-0.7734569907188416,0.7170493602752686,0.8008245229721069,-0.24898479878902435
1,9,0.8085942268371582,0.45700275897979736,-0.600470244884491,0.6899688243865967,0.7844927310943604,-0.35051068663597107
1,10,0.7958717346191406,0.4459914565086365,-0.6811096668243408,0.693440318107605,0.773104190826416,-0.31020620465278625
1,11,0.7094796895980835,0.38500267267227173,-0.3540942668914795,0.6013892292976379,0.875165581703186,-0.3702867329120636
1,12,0.6384915113449097,0.3893548846244812,-0.8061758875846863,0.6637232303619385,0.7573192119598389,-0.12761174142360687
1,13,0.61879563331604,0.4765295088291168,-0.15555374324321747,0.472544401884079,0.8281760811805725,-0.3329371511936188
1,14,0.6505389213562012,0.7192477583885193,-0.8823495507240295,0.6145181059837341,0.6557902097702026,-0.11982007324695587
1,15,0.5626398324966431,0.44214141368865967,-0.07006274908781052,0.49345701932907104,0.7890558838844299,-0.2679886221885681
1,16,0.7810451984405518,0.9667148590087891,-0.7973186373710632,0.686569333076477,0.6515582203865051,-0.17039521038532257
1,17,0.5407260060310364,0.4242161512374878,-0.04636340215802193,0.4971659481525421,0.7847877144813538,-0.27355825901031494
1,18,0.8188593983650208,1.0014209747314453,-0.8730047345161438,0.7118860483169556,0.6350350975990295,-0.16384518146514893
1,19,0.555593729019165,0.4139046370983124,-0.08730003237724304,0.5096050500869751,0.7884393930435181,-0.27390846610069275
1,20,0.8411779999732971,0.9782915115356445,-0.8352777361869812,0.7130932807922363,0.6498962044715881,-0.1624801754951477
1,21,0.5579689145088196,0.430385023355484,-0.07867898046970367,0.5103228688240051,0.7873831987380981,-0.2632018029689789
1,22,0.8234153985977173,0.9667105674743652,-0.7838631272315979,0.701103925704956,0.6564152836799622,-0.1700369119644165
1,23,0.4260502755641937,0.4581853151321411,0.09464427828788757,0.4437234103679657,0.8011375665664673,-0.08172591030597687
1,24,0.33748048543930054,0.3675439953804016,-0.09473846107721329,0.48942703008651733,0.7298267483711243,0.08165817707777023
1,25,0.5322314500808716,0.7470203638076782,0.039358578622341156,0.3264545500278473,0.7423884868621826,-0.3804610073566437
1,26,0.25195688009262085,0.17670997977256775,-0.6575469970703125,0.4650036096572876,0.6004403233528137,-0.01913832686841488
1,27,0.3601214289665222,0.682358980178833,0.13409151136875153,0.3720918893814087,0.7198242545127869,0.029009617865085602
1,28,0.23198994994163513,0.5153717994689941,-0.09313047677278519,0.4016121029853821,0.6131981611251831,0.18212568759918213
1,29,0.3331802785396576,0.6601295471191406,0.15287622809410095,0.3902532756328583,0.7178714871406555,0.07920248061418533
1,30,0.2358800768852234,0.5135931968688965,-0.023687688633799553,0.39109382033348083,0.6230565905570984,0.2093547135591507
1,31,0.32804006338119507,0.7197448015213013,0.1575399488210678,0.34755006432533264,0.6958069205284119,0.128210186958313
1,32,0.17104685306549072,0.6628488302230835,0.006691815331578255,0.37770944833755493,0.570488452911377,0.23246197402477264
2,0,0.8361104726791382,0.451008677482605,-0.4643634855747223,0.7008954882621765,0.7820549011230469,-0.40901464223861694
2,1,0.850416898727417,0.41700252890586853,-0.4476207196712494,0.7120255827903748,0.799086332321167,-0.43464550375938416
2,2,0.8508371114730835,0.4148271977901459,-0.44792819023132324,0.7109737992286682,0.8038822412490845,-0.43464431166648865
2,3,0.8511900901794434,0.41240599751472473,-0.44839030504226685,0.7098863124847412,0.8087096810340881,-0.43483200669288635
2,4,0.8425168991088867,0.41142356395721436,-0.5086363554000854,0.7146254777908325,0.793494462966919,-0.4040561318397522
2,5,0.8377223014831543,0.4050392210483551,-0.5088168978691101,0.7155849933624268,0.7928593158721924,-0.4041825532913208
2,6,0.8324567079544067,0.39837217330932617,-0.5089535713195801,0.7165477275848389,0.7921425700187683,-0.40432703495025635
2,7,0.8238931894302368,0.3778458833694458,-0.3211236894130707,0.7016072869300842,0.8319485783576965,-0.45899954438209534
2,8,0.7991573810577393,0.36085426807403564,-0.5941780805587769,0.7107627987861633,0.8105601072311401,-0.3214576542377472
2,9,0.8097991943359375,0.4606876075267792,-0.40954166650772095,0.6854310035705566,0.792490541934967,-0.4092601239681244
2,10,0.800222635269165,0.45128321647644043,-0.4890768826007843,0.688673734664917,0.7830979824066162,-0.3699319362640381
2,11,0.7273331880569458,0.3930397629737854,-0.17417660355567932,0.612916111946106,0.8631024360656738,-0.43126076459884644
2,12,0.6444832682609558,0.39346957206726074,-0.6616079211235046,0.6669251918792725,0.7909353971481323,-0.17557589709758759
2,13,0.674124002456665,0.5812708735466003,-0.09295222908258438,0.500721275806427,0.8231775164604187,-0.34686100482940674
2,14,0.6526823043823242,0.7371116876602173,-0.7146741151809692,0.6384989023208618,0.7029485106468201,-0.03135816380381584
2,15,0.7031952738761902,0.7373262643814087,-0.19280831515789032,0.5029841065406799,0.8071527481079102,-0.2166556715965271
2,16,0.7766913771629333,0.9642584323883057,-0.6584304571151733,0.6803510189056396,0.6756592392921448,0.06645940989255905
2,17,0.7281423807144165,0.7608038187026978,-0.2139371931552887,0.5017767548561096,0.80653977394104,-0.2174193412065506
2,18,0.8223097324371338,1.000842571258545,-0.7561533451080322,0.6937649250030518,0.6658106446266174,0.08649341762065887
2,19,0.7325081825256348,0.7600778341293335,-0.2848455607891083,0.5095099806785583,0.8089189529418945,-0.22302569448947906
2,20,0.8427764177322388,0.9780815839767456,-0.7209302186965942,0.696483850479126,0.6688530445098877,0.0750030130147934
2,21,0.7129977941513062,0.754838228225708,-0.2246948778629303,0.5118502974510193,0.8079182505607605,-0.21336202323436737
2,22,0.8253477811813354,0.9668419361114502,-0.6523746848106384,0.6889494061470032,0.6737655401229858,0.06364554911851883
2,23,0.4136873781681061,0.42522621154785156,0.14946751296520233,0.46190744638442993,0.7943239212036133,-0.09423890709877014
2,24,0.32727381587028503,0.3984870910644531,-0.14885030686855316,0.5002400279045105,0.7582443356513977,0.09417319297790527
