frame,angle_similarity_percentage,position_similarity_percentage,average_similarity
0,0.0,45.80067418080894,22.90033709040447
1,84.88394312922021,51.28277650401954,68.08335981661988
2,80.48675151943118,54.41987754912767,67.45331453427943
3,91.73466229068688,53.54431163530348,72.63948696299518
4,88.97344033333748,62.01432878544997,75.49388455939372
5,88.29492259919957,52.77564204605767,70.53528232262862
6,86.01439039481157,49.00127830275122,67.50783434878139
7,91.92692592458559,69.69384627630066,80.81038610044313
8,91.31326886331115,62.29480736717659,76.80403811524387
9,86.78539581086254,68.86506334899958,77.82522957993106
10,83.58753216540113,52.06879056819771,67.82816136679942
11,81.98916167107299,51.309340348897045,66.64925100998502
12,82.82097266891235,53.98932132519935,68.40514699705585
13,80.2239514883346,51.28105155321337,65.75250152077399
14,81.36400976174295,48.21510091633313,64.78955533903803
15,88.75627327576929,42.399617788254474,65.57794553201188
16,85.1838788993378,52.962284887659195,69.0730818934985
17,84.40008141867187,42.17175402338793,63.285917721029904
18,84.91545793213533,51.95669376047951,68.43607584630742
19,84.59042412119742,48.44462114847203,66.51752263483472
20,85.08385128265576,52.378028132553965,68.73093970760486
21,85.9567840524761,55.266939363524045,70.61186170800008
22,91.32634210978007,55.22147962794913,73.2739108688646
23,86.244191090187,43.526494231720335,64.88534266095367
24,88.61589856926344,48.12380558586843,68.36985207756594
25,86.479631039808,46.043713256182606,66.2616721479953
26,87.71196530136574,51.776318819235186,69.74414206030046
27,84.27107999561255,45.80003071231864,65.03555535396559
28,86.17802076330399,46.62498784652129,66.40150430491263
29,82.59454677964646,43.88310443678265,63.238825608214555
30,81.5569337040233,47.58682339800481,64.57187855101405
31,82.1657606313847,48.76228927583398,65.46402495360934
32,81.31691619521706,48.10842168275514,64.7126689389861
33,82.71355018015127,36.459142381348805,59.586346280750035
34,0.0,43.15523960560166,21.57761980280083
35,0.0,47.0474206930091,23.52371034650455
36,82.75345390256832,45.76313264812241,64.25829327534537
37,83.59850066616336,39.94533677760553,61.77191872188445
38,0.0,42.37855913555363,21.189279567776815
39,89.16297447638438,39.14672957711475,64.15485202674957
40,0.0,55.82442488463829,27.912212442319145
41,83.87804916022097,41.07043726932351,62.474243214772244
42,82.82325846777427,44.10278519499712,63.46302183138569
43,78.7461532304095,42.1139805878101,60.4300669091098
44,87.0766276491428,44.9332863499387,66.00495699954075
45,83.11138534697125,42.57766292643098,62.84452413670111
46,80.30729328640996,49.84522467425238,65.07625898033118
47,79.07977255239173,39.001510482882075,59.0406415176369
48,87.89813307563506,45.31231785192572,66.60522546378039
49,88.56021322297254,47.11555705699095,67.83788513998175
50,91.0299601149878,50.11628195109941,70.5731210330436
51,84.78715389338262,47.26527981241683,66.02621685289972
52,83.08310959270185,46.80178913390591,64.94244936330388
53,83.29177247211972,53.69023325266944,68.49100286239458
54,84.83090095445908,52.04328543109868,68.43709319277889
55,85.79420040865993,49.17240628270061,67.48330334568027
