frame,keypoint_group,angle_student,angle_master
0,0,158.45668721599128,0.0
0,1,151.31246852861165,0.0
0,2,74.32850645074002,0.0
0,3,87.96010155366483,0.0
0,4,49.06312794125409,0.0
0,5,51.74017860794531,0.0
0,6,67.42311410670686,0.0
0,7,88.98051653697748,0.0
0,8,166.949972167825,0.0
0,9,120.94716862323855,0.0
0,10,1.8694921448212456,0.0
0,11,26.820910609178753,0.0
0,12,157.96901073492884,0.0
0,13,107.13644048509344,0.0
0,14,20.161497120249912,0.0
0,15,46.04264890572779,0.0
0,16,148.62993209151736,0.0
0,17,145.86970894844734,0.0
0,18,33.299639533615164,0.0
0,19,28.812475721537066,0.0
0,20,18.990631568914498,0.0
0,21,11.616582604739243,0.0
0,22,77.92509882731184,0.0
0,23,177.67735333620453,0.0
0,24,126.1588974528976,0.0
0,25,134.94435234728348,0.0
0,26,16.897855004956725,0.0
0,27,35.43654010090785,0.0
1,0,103.25296335831962,81.90905575237683
1,1,154.28572579745543,67.50471975335444
1,2,30.7872150943208,5.114389575059846
1,3,96.23580317114693,55.179616553606806
1,4,49.22452974807272,52.9187798021031
1,5,27.514028914339974,89.31052878025552
1,6,84.2934198628657,178.54137416183912
1,7,118.28421128210739,109.6532172699547
1,8,143.15039120690938,123.79161246963905
1,9,117.79993510760919,158.16032809735182
1,10,36.705980962420924,46.82385759734454
1,11,31.648760613419928,29.545222725109554
1,12,74.0260335257778,114.62943117157903
1,13,91.43195328132472,61.51344486800143
1,14,69.26798551180129,18.546711231076472
1,15,56.91928610525531,88.94133240688899
1,16,161.06468994817624,159.828104736768
1,17,62.05551863672497,148.23378369636617
1,18,55.401627426328034,33.46224336263697
1,19,41.950654336870635,61.13931190888119
1,20,35.70538180011652,17.055962820865062
1,21,1.026752665671705,14.949160750815945
1,22,130.4093259804102,164.52305424797555
1,23,175.96438938114417,5.832015585928727
1,24,165.6145999217335,115.60725170898468
1,25,135.46485827482533,85.13038122099209
1,26,14.089725523314723,4.911197117170407
1,27,25.26734507934923,32.77262346150411
2,0,153.66289387648385,101.5507766751276
2,1,152.7347693968946,105.20167091807842
2,2,68.35625537640594,4.899123864291327
2,3,90.46056286082681,60.99942533028888
2,4,36.294361117201404,124.2697753386514
2,5,49.76773616799091,124.81617060811188
2,6,72.88772671229228,167.93376050833245
2,7,92.43891098289123,150.26887939109392
2,8,161.31414993049626,93.10284909441933
2,9,121.67137800202872,159.31449764656426
2,10,5.444506891557075,168.22712324450669
2,11,26.913906905986654,13.412269337119206
2,12,127.29696864818054,9.81610278704158
2,13,93.23363513899291,95.5000484393755
2,14,47.25852446026238,1.9567739684517194
2,15,59.85245795502044,71.08768222350528
2,16,149.53747175408535,89.0733360501108
2,17,155.97062040626818,153.5099517653624
2,18,41.612467990964205,20.868688441266876
2,19,45.06778654501647,74.04067654159206
2,20,29.533141509575106,3.752738376531386
2,21,10.699770502217895,15.664619424893054
2,22,133.40244391660326,173.08640340153696
2,23,176.71054093370577,35.895242596078106
2,24,168.11671988230742,134.4656344227656
2,25,133.90070247511355,106.69720020863294
2,26,13.623546485571257,17.034847677559927
2,27,19.758371939627693,29.13384196264975
3,0,159.34915543504533,64.69863663480693
3,1,159.4677420345892,88.75800324627502
3,2,69.24543875960634,13.323591201268059
3,3,88.5753303913951,56.743463690606056
3,4,40.94823485508496,69.54380694383521
3,5,96.40207494118994,61.235695466718234
3,6,71.77300977041638,154.213281926199
3,7,98.35773845337684,124.54398580501864
3,8,168.55382570124542,142.63105881083328
3,9,122.97385145247507,154.02684639345938
3,10,5.363259272233251,17.48466440139365
3,11,25.927313909366827,18.54824363625784
3,12,104.81261157416688,33.797664866283085
3,13,99.00868589889976,79.82593153459477
3,14,69.82412915359987,128.71767073232326
3,15,55.064000191733385,81.62582482914746
3,16,149.77699831838632,131.75679993299119
3,17,104.02117402893299,167.34192481832864
3,18,48.00401409765321,30.072319692366953
3,19,39.91128178010741,55.3045472755552
3,20,29.86052220928147,14.622754064369957
3,21,8.500615685424503,20.778916819049574
3,22,131.22646271209348,164.9997154272817
3,23,173.87359085997258,144.0518649786959
3,24,164.53315301624735,135.31522303186506
3,25,134.63514727693834,142.95949513924407
3,26,13.572692429155007,8.945356182128961
3,27,18.044407875130787,17.970239331978465
4,0,152.75449633367523,76.62141069696244
4,1,155.7765336487788,108.67738113267445
4,2,61.118557524393275,5.3659108144518965
4,3,94.54091057548578,70.5366416444364
4,4,105.52986277508788,57.5079508687357
4,5,42.90040302696497,104.80425081727086
4,6,57.08769417816751,175.48033580631886
4,7,81.51684011446831,123.26820210995723
4,8,170.98946628048895,144.1001572788629
4,9,125.12637772476891,115.7170321171253
4,10,2.7450537135142006,23.306730226608632
4,11,28.15692162953009,66.11848335969593
4,12,167.7939500762112,120.74292021718283
4,13,93.99661458924753,59.889438596845004
4,14,9.460996210274603,35.950349556208565
4,15,57.84646378122238,53.9920780434591
4,16,134.39104145530035,122.73421078669864
4,17,147.08459948409276,142.653699644621
4,18,53.86930793891471,36.09689373238503
4,19,38.8910279714163,74.005147234725
4,20,16.89462004256149,10.707683002083263
